"eTable 7. Regressions of SCFA serum concentration with respect to sCAGs, ssCAGs, and fCAGs.",,,,,
,,,,,
Short chain fatty acid,SE category,CAG number,beta (95% CI),p-value,FDR strat
Propionic acid ,Function,CAG 49,"-0.000365 (-0.00108,0.00035)",0.319,1
Butyric acid,Function,CAG 49,"-0.000215 (-0.00093,0.0005)",0.556,1
Acetic acid,Function,CAG 49,"-0.000187 (-0.0009,0.00053)",0.61,1
Isobutyric acid,Function,CAG 50,"0.000876 (0.00025,0.0015)",0.008,1
Isovaleric acid,Function,CAG 50,"0.000791 (0.00016,0.00142)",0.017,1
Propionic acid ,Function,CAG 50,"0.000671 (0.00003,0.00131)",0.044,1
Butyric acid,Function,CAG 50,"0.000376 (-0.00028,0.00103)",0.264,1
Acetic acid,Function,CAG 50,"0.000169 (-0.00049,0.00083)",0.616,1
Isobutyric acid,Function,CAG 51,"-0.000126 (-0.00048,0.00023)",0.493,1
Isovaleric acid,Function,CAG 51,"-0.00012 (-0.00048,0.00024)",0.512,1
Propionic acid ,Function,CAG 51,"-0.000135 (-0.00049,0.00022)",0.46,1
Butyric acid,Function,CAG 51,"-0.000414 (-0.00075,-0.00007)",0.02,1
Acetic acid,Function,CAG 51,"-0.000195 (-0.00055,0.00016)",0.283,1
Isobutyric acid,Function,CAG 52,"-0.000307 (-0.0008,0.00019)",0.226,1
Isovaleric acid,Function,CAG 52,"-0.000386 (-0.00087,0.0001)",0.126,1
Propionic acid ,Function,CAG 52,"-0.000581 (-0.00106,-0.00011)",0.02,1
Butyric acid,Function,CAG 52,"0.000264 (-0.00023,0.00075)",0.295,1
Acetic acid,Function,CAG 52,"-0.00031 (-0.0008,0.00018)",0.217,1
Isobutyric acid,Function,CAG 53,"-0.000043 (-0.00014,0.00005)",0.367,1
Isovaleric acid,Function,CAG 53,"-0.000031 (-0.00012,0.00006)",0.521,1
Propionic acid ,Function,CAG 53,"-0.000042 (-0.00014,0.00005)",0.374,1
Butyric acid,Function,CAG 53,"0.000007 (-0.00009,0.0001)",0.888,1
Acetic acid,Function,CAG 53,"0.00002 (-0.00007,0.00011)",0.68,1
Isobutyric acid,Function,CAG 54,"0.000084 (-0.00003,0.0002)",0.141,1
Isovaleric acid,Function,CAG 54,"0.000068 (-0.00004,0.00018)",0.239,1
Propionic acid ,Function,CAG 54,"0.000042 (-0.00007,0.00015)",0.469,1
Butyric acid,Function,CAG 54,"0.000006 (-0.00011,0.00012)",0.914,1
Acetic acid,Function,CAG 54,"0.00009 (-0.00002,0.0002)",0.113,1
Isobutyric acid,Function,CAG 55,"0.000276 (-0.00015,0.0007)",0.206,1
Isovaleric acid,Function,CAG 55,"0.000286 (-0.00014,0.00071)",0.189,1
Propionic acid ,Function,CAG 55,"0.000148 (-0.00028,0.00057)",0.5,1
Butyric acid,Function,CAG 55,"-0.000198 (-0.00062,0.00022)",0.363,1
Acetic acid,Function,CAG 55,"0.000417 (0.00001,0.00083)",0.052,1
Isobutyric acid,Function,CAG 56,"-0.000148 (-0.0004,0.0001)",0.247,1
Isovaleric acid,Function,CAG 56,"-0.00015 (-0.0004,0.0001)",0.238,1
Propionic acid ,Function,CAG 56,"-0.000105 (-0.00035,0.00014)",0.412,1
Butyric acid,Function,CAG 56,"-0.000084 (-0.00033,0.00016)",0.511,1
Acetic acid,Function,CAG 56,"-0.000116 (-0.00036,0.00013)",0.36,1
Isobutyric acid,Function,CAG 57,"0.000015 (-0.00026,0.00029)",0.913,1
Isovaleric acid,Function,CAG 57,"-0.000022 (-0.00029,0.00025)",0.875,1
Propionic acid ,Function,CAG 57,"-0.000087 (-0.00036,0.00018)",0.53,1
Butyric acid,Function,CAG 57,"0.000025 (-0.00024,0.00029)",0.858,1
Acetic acid,Function,CAG 57,"-0.000029 (-0.0003,0.00024)",0.833,1
Isobutyric acid,Function,CAG 58,"0.001159 (0.00056,0.00176)",3.77E-04,0.23
Isovaleric acid,Function,CAG 58,"0.001008 (0.00039,0.00163)",0.002,1
Propionic acid ,Function,CAG 58,"0.000783 (0.00014,0.00142)",0.02,1
Butyric acid,Function,CAG 58,"0.000353 (-0.00031,0.00101)",0.299,1
Acetic acid,Function,CAG 58,"0.000429 (-0.00023,0.00109)",0.206,1
Isobutyric acid,Function,CAG 59,"0.000148 (-0.00032,0.00062)",0.538,1
Isovaleric acid,Function,CAG 59,"0.000087 (-0.00038,0.00056)",0.717,1
Propionic acid ,Function,CAG 59,"-0.000083 (-0.00055,0.00039)",0.732,1
Butyric acid,Function,CAG 59,"-0.000099 (-0.00057,0.00037)",0.678,1
Acetic acid,Function,CAG 59,"-0.00008 (-0.00055,0.00039)",0.738,1
Isobutyric acid,Function,CAG 60,"0.000722 (0.00021,0.00124)",0.008,1
Isovaleric acid,Function,CAG 60,"0.000654 (0.00014,0.00117)",0.016,1
Propionic acid ,Function,CAG 60,"0.000567 (0.00004,0.00109)",0.039,1
Butyric acid,Function,CAG 60,"0.000304 (-0.00023,0.00084)",0.273,1
Acetic acid,Function,CAG 60,"0.000138 (-0.0004,0.00068)",0.619,1
Isobutyric acid,Function,CAG 61,"0.000178 (-0.00017,0.00052)",0.315,1
Isovaleric acid,Function,CAG 61,"0.000229 (-0.00011,0.00057)",0.195,1
Propionic acid ,Function,CAG 61,"0.000256 (-0.00008,0.0006)",0.146,1
Butyric acid,Function,CAG 61,"-0.000195 (-0.00054,0.00015)",0.267,1
Acetic acid,Function,CAG 61,"0.000297 (-0.00004,0.00063)",0.089,1
Isobutyric acid,Function,CAG 62,"-0.000026 (-0.0004,0.00035)",0.894,1
Isovaleric acid,Function,CAG 62,"0.000146 (-0.00023,0.00052)",0.445,1
Propionic acid ,Function,CAG 62,"0.000146 (-0.00023,0.00052)",0.447,1
Butyric acid,Function,CAG 62,"0.000052 (-0.00032,0.00042)",0.787,1
Acetic acid,Function,CAG 62,"0.00016 (-0.00021,0.00053)",0.399,1
Isobutyric acid,Function,CAG 63,"0.000045 (-0.00048,0.00057)",0.869,1
Isovaleric acid,Function,CAG 63,"-0.00003 (-0.00055,0.00049)",0.911,1
Propionic acid ,Function,CAG 63,"-0.000201 (-0.00072,0.00032)",0.452,1
Butyric acid,Function,CAG 63,"-0.000423 (-0.00093,0.00009)",0.108,1
Acetic acid,Function,CAG 63,"0.000044 (-0.00048,0.00056)",0.868,1
Isobutyric acid,Function,CAG 64,"0.000028 (-0.00032,0.00037)",0.876,1
Isovaleric acid,Function,CAG 64,"-0.000059 (-0.0004,0.00029)",0.739,1
Propionic acid ,Function,CAG 64,"-0.000166 (-0.00051,0.00018)",0.344,1
Butyric acid,Function,CAG 64,"-0.000245 (-0.00058,0.00009)",0.158,1
Acetic acid,Function,CAG 64,"-0.000205 (-0.00054,0.00013)",0.24,1
Isobutyric acid,Function,CAG 65,"0.000222 (-0.0003,0.00074)",0.408,1
Isovaleric acid,Function,CAG 65,"0.000068 (-0.00046,0.00059)",0.8,1
Propionic acid ,Function,CAG 65,"0.000324 (-0.00019,0.00084)",0.225,1
Butyric acid,Function,CAG 65,"0.000031 (-0.00049,0.00055)",0.909,1
Acetic acid,Function,CAG 65,"0.00029 (-0.00023,0.00081)",0.275,1
Isobutyric acid,Function,CAG 66,"-0.0004 (-0.00122,0.00042)",0.345,1
Isovaleric acid,Function,CAG 66,"-0.000435 (-0.00126,0.00039)",0.304,1
Propionic acid ,Function,CAG 66,"-0.00039 (-0.00121,0.00043)",0.357,1
Butyric acid,Function,CAG 66,"0.000099 (-0.00072,0.00092)",0.814,1
Acetic acid,Function,CAG 66,"-0.000283 (-0.0011,0.00054)",0.502,1
Isobutyric acid,Function,CAG 67,"-0.000052 (-0.00067,0.00057)",0.87,1
Isovaleric acid,Function,CAG 67,"-0.000106 (-0.00073,0.00051)",0.739,1
Propionic acid ,Function,CAG 67,"0.000126 (-0.00049,0.00075)",0.692,1
Butyric acid,Function,CAG 67,"-0.000699 (-0.00129,-0.00011)",0.024,1
Acetic acid,Function,CAG 67,"0.000183 (-0.00043,0.0008)",0.561,1
Isobutyric acid,Function,CAG 68,"0.000517 (0.00016,0.00087)",0.006,1
Isovaleric acid,Function,CAG 68,"0.000452 (0.00009,0.00081)",0.016,1
Propionic acid ,Function,CAG 68,"0.000384 (0.00002,0.00075)",0.043,1
Butyric acid,Function,CAG 68,"0.000193 (-0.00018,0.00056)",0.313,1
Acetic acid,Function,CAG 68,"0.000105 (-0.00027,0.00048)",0.583,1
Isobutyric acid,Function,CAG 69,"-0.000034 (-0.00018,0.00011)",0.649,1
Isovaleric acid,Function,CAG 69,"0.000001 (-0.00015,0.00015)",0.989,1
Propionic acid ,Function,CAG 69,"-0.000035 (-0.00018,0.00011)",0.639,1
Butyric acid,Function,CAG 69,"0.000002 (-0.00014,0.00015)",0.977,1
Acetic acid,Function,CAG 69,"0.000096 (-0.00005,0.00024)",0.198,1
Isobutyric acid,Function,CAG 70,"-0.000051 (-0.00017,0.00007)",0.398,1
Isovaleric acid,Function,CAG 70,"-0.000037 (-0.00015,0.00008)",0.538,1
Propionic acid ,Function,CAG 70,"-0.000051 (-0.00017,0.00007)",0.393,1
Butyric acid,Function,CAG 70,"0.000002 (-0.00011,0.00012)",0.968,1
Acetic acid,Function,CAG 70,"0.000023 (-0.00009,0.00014)",0.699,1
Isobutyric acid,Function,CAG 71,"-0.000392 (-0.00134,0.00056)",0.421,1
Isovaleric acid,Function,CAG 71,"-0.000389 (-0.00133,0.00056)",0.424,1
Propionic acid ,Function,CAG 71,"-0.000392 (-0.00134,0.00055)",0.42,1
Butyric acid,Function,CAG 71,"0.00036 (-0.00058,0.0013)",0.456,1
Acetic acid,Function,CAG 71,"-0.000347 (-0.00129,0.00059)",0.473,1
Isobutyric acid,Function,CAG 72,"0.001164 (0.00018,0.00214)",0.023,1
Isovaleric acid,Function,CAG 72,"0.000742 (-0.00026,0.00175)",0.153,1
Propionic acid ,Function,CAG 72,"0.000511 (-0.0005,0.00152)",0.327,1
Butyric acid,Function,CAG 72,"0.000318 (-0.00069,0.00133)",0.541,1
Acetic acid,Function,CAG 72,"0.000774 (-0.00022,0.00177)",0.133,1
Isobutyric acid,Function,CAG 73,"-0.000003 (-0.00002,0.00002)",0.802,1
Isovaleric acid,Function,CAG 73,"-0.000004 (-0.00003,0.00002)",0.726,1
Propionic acid ,Function,CAG 73,"0.000002 (-0.00002,0.00002)",0.861,1
Butyric acid,Function,CAG 73,"0.000009 (-0.00001,0.00003)",0.407,1
Acetic acid,Function,CAG 73,"-0.000001 (-0.00002,0.00002)",0.952,1
Isobutyric acid,Function,CAG 74,"0.000092 (-0.00032,0.0005)",0.659,1
Isovaleric acid,Function,CAG 74,"0.000069 (-0.00034,0.00048)",0.742,1
Propionic acid ,Function,CAG 74,"-0.000095 (-0.0005,0.00031)",0.65,1
Butyric acid,Function,CAG 74,"-0.000323 (-0.00072,0.00007)",0.116,1
Acetic acid,Function,CAG 74,"0.000072 (-0.00033,0.00048)",0.728,1
Isobutyric acid,Function,CAG 75,"-0.000048 (-0.00055,0.00045)",0.851,1
Isovaleric acid,Function,CAG 75,"-0.000119 (-0.00062,0.00038)",0.642,1
Propionic acid ,Function,CAG 75,"0.000207 (-0.00029,0.0007)",0.418,1
Butyric acid,Function,CAG 75,"0.000017 (-0.00048,0.00051)",0.946,1
Acetic acid,Function,CAG 75,"0.000233 (-0.00026,0.00073)",0.357,1
Isobutyric acid,Function,CAG 76,"-0.000137 (-0.00047,0.0002)",0.425,1
Isovaleric acid,Function,CAG 76,"-0.000201 (-0.00053,0.00013)",0.24,1
Propionic acid ,Function,CAG 76,"-0.000025 (-0.00036,0.00031)",0.886,1
Butyric acid,Function,CAG 76,"-0.000004 (-0.00034,0.00033)",0.982,1
Acetic acid,Function,CAG 76,"-0.000092 (-0.00042,0.00024)",0.59,1
Isobutyric acid,Function,CAG 77,"-0.000122 (-0.00058,0.00033)",0.603,1
Isovaleric acid,Function,CAG 77,"-0.000118 (-0.00057,0.00034)",0.612,1
Propionic acid ,Function,CAG 77,"-0.000032 (-0.00049,0.00042)",0.89,1
Butyric acid,Function,CAG 77,"-0.000274 (-0.00072,0.00017)",0.235,1
Acetic acid,Function,CAG 77,"-0.000128 (-0.00058,0.00032)",0.581,1
Isobutyric acid,Function,CAG 78,"-0.000128 (-0.00049,0.00024)",0.497,1
Isovaleric acid,Function,CAG 78,"-0.000178 (-0.00054,0.00019)",0.341,1
Propionic acid ,Function,CAG 78,"-0.000156 (-0.00052,0.00021)",0.404,1
Butyric acid,Function,CAG 78,"-0.000244 (-0.0006,0.00012)",0.188,1
Acetic acid,Function,CAG 78,"-0.000145 (-0.00051,0.00022)",0.436,1
Isobutyric acid,Function,CAG 79,"0.000064 (-0.00018,0.0003)",0.603,1
Isovaleric acid,Function,CAG 79,"0.000093 (-0.00015,0.00033)",0.451,1
Propionic acid ,Function,CAG 79,"0.000171 (-0.00007,0.00041)",0.162,1
Butyric acid,Function,CAG 79,"0.000154 (-0.00008,0.00039)",0.206,1
Acetic acid,Function,CAG 79,"0.000119 (-0.00012,0.00036)",0.33,1
Isobutyric acid,Function,CAG 80,"-0.000092 (-0.00037,0.00019)",0.527,1
Isovaleric acid,Function,CAG 80,"-0.000104 (-0.00039,0.00018)",0.471,1
Propionic acid ,Function,CAG 80,"-0.000063 (-0.00035,0.00022)",0.666,1
Butyric acid,Function,CAG 80,"0.000053 (-0.00023,0.00033)",0.713,1
Acetic acid,Function,CAG 80,"-0.000045 (-0.00033,0.00024)",0.754,1
Isobutyric acid,Function,CAG 81,"-0.000361 (-0.00077,0.00005)",0.091,1
Isovaleric acid,Function,CAG 81,"-0.000287 (-0.0007,0.00013)",0.18,1
Propionic acid ,Function,CAG 81,"-0.000402 (-0.00081,0.00001)",0.058,1
Butyric acid,Function,CAG 81,"0.000429 (0.00002,0.00083)",0.042,1
Acetic acid,Function,CAG 81,"-0.000275 (-0.00069,0.00014)",0.198,1
Isobutyric acid,Function,CAG 82,"-0.000027 (-0.00008,0.00003)",0.324,1
Isovaleric acid,Function,CAG 82,"-0.000024 (-0.00008,0.00003)",0.388,1
Propionic acid ,Function,CAG 82,"0.000004 (-0.00005,0.00006)",0.897,1
Butyric acid,Function,CAG 82,"-0.000011 (-0.00006,0.00004)",0.697,1
Acetic acid,Function,CAG 82,"-0.000022 (-0.00008,0.00003)",0.419,1
Isobutyric acid,Function,CAG 83,"-0.000048 (-0.00032,0.00022)",0.73,1
Isovaleric acid,Function,CAG 83,"0.000022 (-0.00025,0.00029)",0.872,1
Propionic acid ,Function,CAG 83,"0.000113 (-0.00015,0.00038)",0.411,1
Butyric acid,Function,CAG 83,"0.000306 (0.00005,0.00056)",0.022,1
Acetic acid,Function,CAG 83,"0.000097 (-0.00017,0.00036)",0.477,1
Isobutyric acid,Function,CAG 84,"-0.000004 (-0.00002,0.00002)",0.668,1
Isovaleric acid,Function,CAG 84,"-0.000016 (-0.00004,0)",0.13,1
Propionic acid ,Function,CAG 84,"-0.000008 (-0.00003,0.00001)",0.418,1
Butyric acid,Function,CAG 84,"-0.000003 (-0.00002,0.00002)",0.79,1
Acetic acid,Function,CAG 84,"-0.000006 (-0.00003,0.00001)",0.584,1
Isobutyric acid,Function,CAG 85,"0.000051 (-0.00004,0.00014)",0.265,1
Isovaleric acid,Function,CAG 85,"0.000035 (-0.00005,0.00012)",0.439,1
Propionic acid ,Function,CAG 85,"0.000029 (-0.00006,0.00012)",0.517,1
Butyric acid,Function,CAG 85,"-0.000012 (-0.0001,0.00008)",0.785,1
Acetic acid,Function,CAG 85,"0.000074 (-0.00001,0.00016)",0.098,1
Isobutyric acid,Function,CAG 86,"-0.000077 (-0.00044,0.00029)",0.683,1
Isovaleric acid,Function,CAG 86,"-0.000029 (-0.0004,0.00034)",0.875,1
Propionic acid ,Function,CAG 86,"-0.000146 (-0.00051,0.00022)",0.435,1
Butyric acid,Function,CAG 86,"0.000216 (-0.00014,0.00058)",0.244,1
Acetic acid,Function,CAG 86,"-0.000076 (-0.00044,0.00029)",0.684,1
Isobutyric acid,Function,CAG 87,"-0.000039 (-0.00015,0.00007)",0.479,1
Isovaleric acid,Function,CAG 87,"-0.000036 (-0.00014,0.00007)",0.512,1
Propionic acid ,Function,CAG 87,"-0.000041 (-0.00015,0.00007)",0.462,1
Butyric acid,Function,CAG 87,"-0.000013 (-0.00012,0.00009)",0.821,1
Acetic acid,Function,CAG 87,"0.000037 (-0.00007,0.00014)",0.502,1
Isobutyric acid,Function,CAG 88,"-0.000182 (-0.00047,0.0001)",0.213,1
Isovaleric acid,Function,CAG 88,"-0.000208 (-0.00049,0.00007)",0.152,1
Propionic acid ,Function,CAG 88,"-0.000135 (-0.00042,0.00015)",0.356,1
Butyric acid,Function,CAG 88,"-0.000116 (-0.0004,0.00017)",0.425,1
Acetic acid,Function,CAG 88,"-0.000194 (-0.00047,0.00009)",0.179,1
Isobutyric acid,Function,CAG 89,"-0.000284 (-0.00103,0.00046)",0.46,1
Isovaleric acid,Function,CAG 89,"-0.000163 (-0.00091,0.00059)",0.671,1
Propionic acid ,Function,CAG 89,"-0.00046 (-0.0012,0.00028)",0.229,1
Butyric acid,Function,CAG 89,"-0.000267 (-0.00101,0.00048)",0.485,1
Acetic acid,Function,CAG 89,"-0.000192 (-0.00094,0.00055)",0.616,1
Isobutyric acid,Function,CAG 90,"-0.000085 (-0.00034,0.00017)",0.521,1
Isovaleric acid,Function,CAG 90,"-0.000076 (-0.00033,0.00018)",0.565,1
Propionic acid ,Function,CAG 90,"-0.000065 (-0.00032,0.00019)",0.623,1
Butyric acid,Function,CAG 90,"0.000159 (-0.0001,0.00041)",0.227,1
Acetic acid,Function,CAG 90,"0.000032 (-0.00023,0.00029)",0.81,1
Isobutyric acid,Function,CAG 91,"-0.000229 (-0.00062,0.00016)",0.255,1
Isovaleric acid,Function,CAG 91,"-0.00028 (-0.00067,0.00011)",0.162,1
Propionic acid ,Function,CAG 91,"-0.000216 (-0.00061,0.00017)",0.281,1
Butyric acid,Function,CAG 91,"-0.000266 (-0.00065,0.00012)",0.181,1
Acetic acid,Function,CAG 91,"-0.000128 (-0.00052,0.00026)",0.522,1
Isobutyric acid,Function,CAG 92,"0.000179 (-0.00031,0.00066)",0.472,1
Isovaleric acid,Function,CAG 92,"0.000108 (-0.00038,0.00059)",0.662,1
Propionic acid ,Function,CAG 92,"-0.000046 (-0.00053,0.00044)",0.852,1
Butyric acid,Function,CAG 92,"-0.000112 (-0.00059,0.00037)",0.649,1
Acetic acid,Function,CAG 92,"0.000125 (-0.00036,0.00061)",0.612,1
Isobutyric acid,Function,CAG 93,"-0.000096 (-0.00037,0.00018)",0.494,1
Isovaleric acid,Function,CAG 93,"-0.000109 (-0.00038,0.00016)",0.433,1
Propionic acid ,Function,CAG 93,"-0.000047 (-0.00032,0.00023)",0.739,1
Butyric acid,Function,CAG 93,"-0.000115 (-0.00038,0.00015)",0.407,1
Acetic acid,Function,CAG 93,"-0.00015 (-0.00042,0.00012)",0.279,1
Isobutyric acid,Function,CAG 94,"0.000523 (0.00017,0.00087)",0.005,1
Isovaleric acid,Function,CAG 94,"0.000483 (0.00013,0.00084)",0.009,1
Propionic acid ,Function,CAG 94,"0.000357 (-0.00001,0.00072)",0.059,1
Butyric acid,Function,CAG 94,"0.000091 (-0.00028,0.00046)",0.633,1
Acetic acid,Function,CAG 94,"0.000236 (-0.00013,0.0006)",0.211,1
Isobutyric acid,Function,CAG 95,"-0.000044 (-0.00033,0.00024)",0.767,1
Isovaleric acid,Function,CAG 95,"-0.00004 (-0.00033,0.00025)",0.784,1
Propionic acid ,Function,CAG 95,"0.000026 (-0.00026,0.00031)",0.86,1
Butyric acid,Function,CAG 95,"-0.000086 (-0.00037,0.0002)",0.555,1
Acetic acid,Function,CAG 95,"-0.000025 (-0.00031,0.00026)",0.862,1
Isobutyric acid,Function,CAG 96,"0.000082 (-0.00018,0.00035)",0.549,1
Isovaleric acid,Function,CAG 96,"0.000067 (-0.0002,0.00033)",0.622,1
Propionic acid ,Function,CAG 96,"0.000123 (-0.00014,0.00039)",0.364,1
Butyric acid,Function,CAG 96,"-0.000074 (-0.00034,0.00019)",0.585,1
Acetic acid,Function,CAG 96,"0.000233 (-0.00002,0.00049)",0.081,1
Isobutyric acid,Function,CAG 97,"0.000139 (-0.00021,0.00049)",0.436,1
Isovaleric acid,Function,CAG 97,"0.000015 (-0.00033,0.00036)",0.935,1
Propionic acid ,Function,CAG 97,"0.000002 (-0.00035,0.00035)",0.992,1
Butyric acid,Function,CAG 97,"-0.000111 (-0.00046,0.00023)",0.532,1
Acetic acid,Function,CAG 97,"0.000056 (-0.00029,0.0004)",0.751,1
Isobutyric acid,Function,CAG 98,"0.000312 (-0.00006,0.00068)",0.105,1
Isovaleric acid,Function,CAG 98,"0.000126 (-0.00025,0.0005)",0.514,1
Propionic acid ,Function,CAG 98,"0.000113 (-0.00026,0.00049)",0.56,1
Butyric acid,Function,CAG 98,"-0.00011 (-0.00049,0.00027)",0.567,1
Acetic acid,Function,CAG 98,"0.000223 (-0.00015,0.00059)",0.245,1
Isobutyric acid,Function,CAG 99,"-0.000194 (-0.00065,0.00026)",0.403,1
Isovaleric acid,Function,CAG 99,"-0.000207 (-0.00066,0.00024)",0.372,1
Propionic acid ,Function,CAG 99,"-0.000171 (-0.00062,0.00028)",0.462,1
Butyric acid,Function,CAG 99,"0.000115 (-0.00033,0.00056)",0.618,1
Acetic acid,Function,CAG 99,"-0.000135 (-0.00058,0.00031)",0.559,1
Isobutyric acid,Function,CAG 100,"0.000032 (-0.00016,0.00022)",0.741,1
Isovaleric acid,Function,CAG 100,"-0.000021 (-0.00021,0.00017)",0.828,1
Propionic acid ,Function,CAG 100,"-0.000053 (-0.00024,0.00013)",0.58,1
Butyric acid,Function,CAG 100,"-0.000059 (-0.00025,0.00013)",0.536,1
Acetic acid,Function,CAG 100,"0.000013 (-0.00017,0.0002)",0.893,1
Isobutyric acid,Function,CAG 101,"0.000029 (-0.00017,0.00023)",0.783,1
Isovaleric acid,Function,CAG 101,"0.000002 (-0.0002,0.0002)",0.983,1
Propionic acid ,Function,CAG 101,"0.000056 (-0.00015,0.00026)",0.589,1
Butyric acid,Function,CAG 101,"-0.000227 (-0.00042,-0.00004)",0.024,1
Acetic acid,Function,CAG 101,"-0.000016 (-0.00022,0.00018)",0.876,1
Isobutyric acid,Function,CAG 102,"0.000087 (-0.00015,0.00033)",0.477,1
Isovaleric acid,Function,CAG 102,"0.000127 (-0.00011,0.00036)",0.295,1
Propionic acid ,Function,CAG 102,"0.000084 (-0.00015,0.00032)",0.49,1
Butyric acid,Function,CAG 102,"0.000039 (-0.0002,0.00028)",0.746,1
Acetic acid,Function,CAG 102,"0.000083 (-0.00015,0.00032)",0.492,1
Isobutyric acid,Function,CAG 103,"-0.000058 (-0.00052,0.0004)",0.807,1
Isovaleric acid,Function,CAG 103,"-0.000026 (-0.00049,0.00044)",0.914,1
Propionic acid ,Function,CAG 103,"-0.000067 (-0.00053,0.00039)",0.777,1
Butyric acid,Function,CAG 103,"0.000302 (-0.00015,0.00075)",0.195,1
Acetic acid,Function,CAG 103,"-0.000137 (-0.00059,0.00032)",0.559,1
Isobutyric acid,Function,CAG 104,"0.000048 (-0.00029,0.00038)",0.778,1
Isovaleric acid,Function,CAG 104,"0.000003 (-0.00033,0.00034)",0.987,1
Propionic acid ,Function,CAG 104,"-0.000108 (-0.00044,0.00023)",0.528,1
Butyric acid,Function,CAG 104,"-0.000164 (-0.00049,0.00017)",0.333,1
Acetic acid,Function,CAG 104,"0.000075 (-0.00026,0.00041)",0.661,1
Isobutyric acid,Function,CAG 105,"0.000381 (-0.00006,0.00082)",0.094,1
Isovaleric acid,Function,CAG 105,"0.000172 (-0.00027,0.00062)",0.454,1
Propionic acid ,Function,CAG 105,"0.00012 (-0.00033,0.00057)",0.601,1
Butyric acid,Function,CAG 105,"-0.000101 (-0.00055,0.00034)",0.66,1
Acetic acid,Function,CAG 105,"0.000265 (-0.00018,0.0007)",0.244,1
Isobutyric acid,Function,CAG 106,"0.000133 (-0.00028,0.00054)",0.529,1
Isovaleric acid,Function,CAG 106,"0.000125 (-0.00028,0.00054)",0.551,1
Propionic acid ,Function,CAG 106,"0.000011 (-0.0004,0.00042)",0.958,1
Butyric acid,Function,CAG 106,"0.000263 (-0.00014,0.00067)",0.206,1
Acetic acid,Function,CAG 106,"0.000027 (-0.00038,0.00044)",0.897,1
Isobutyric acid,Function,CAG 107,"0.000005 (-0.00003,0.00004)",0.764,1
Isovaleric acid,Function,CAG 107,"0.000011 (-0.00002,0.00004)",0.477,1
Propionic acid ,Function,CAG 107,"0.000025 (-0.00001,0.00006)",0.111,1
Butyric acid,Function,CAG 107,"0.000026 (0,0.00006)",0.103,1
Acetic acid,Function,CAG 107,"0.000007 (-0.00002,0.00004)",0.653,1
Isobutyric acid,Function,CAG 108,"-0.000104 (-0.00036,0.00015)",0.432,1
Isovaleric acid,Function,CAG 108,"-0.000132 (-0.00039,0.00012)",0.315,1
Propionic acid ,Function,CAG 108,"0.000028 (-0.00023,0.00029)",0.834,1
Butyric acid,Function,CAG 108,"-0.000209 (-0.00046,0.00004)",0.107,1
Acetic acid,Function,CAG 108,"-0.000148 (-0.0004,0.00011)",0.256,1
Isobutyric acid,Function,CAG 109,"0.000076 (-0.00012,0.00027)",0.454,1
Isovaleric acid,Function,CAG 109,"0.000015 (-0.00018,0.00021)",0.882,1
Propionic acid ,Function,CAG 109,"-0.000018 (-0.00022,0.00018)",0.859,1
Butyric acid,Function,CAG 109,"-0.000061 (-0.00026,0.00014)",0.548,1
Acetic acid,Function,CAG 109,"0.000017 (-0.00018,0.00021)",0.87,1
Isobutyric acid,Function,CAG 110,"-0.000139 (-0.00038,0.0001)",0.266,1
Isovaleric acid,Function,CAG 110,"-0.000135 (-0.00038,0.00011)",0.281,1
Propionic acid ,Function,CAG 110,"-0.000121 (-0.00036,0.00012)",0.335,1
Butyric acid,Function,CAG 110,"-0.000038 (-0.00028,0.00021)",0.761,1
Acetic acid,Function,CAG 110,"-0.000172 (-0.00041,0.00007)",0.165,1
Isobutyric acid,Function,CAG 111,"-0.000392 (-0.00066,-0.00012)",0.007,1
Isovaleric acid,Function,CAG 111,"-0.000355 (-0.00063,-0.00008)",0.014,1
Propionic acid ,Function,CAG 111,"-0.000334 (-0.00061,-0.00006)",0.021,1
Butyric acid,Function,CAG 111,"-0.000027 (-0.00031,0.00026)",0.857,1
Acetic acid,Function,CAG 111,"-0.000252 (-0.00053,0.00003)",0.083,1
Isobutyric acid,Function,CAG 112,"-0.000009 (-0.00009,0.00007)",0.839,1
Isovaleric acid,Function,CAG 112,"-0.000023 (-0.00011,0.00006)",0.584,1
Propionic acid ,Function,CAG 112,"0.000038 (-0.00004,0.00012)",0.366,1
Butyric acid,Function,CAG 112,"-0.000014 (-0.0001,0.00007)",0.741,1
Acetic acid,Function,CAG 112,"-0.000023 (-0.00011,0.00006)",0.583,1
Isobutyric acid,Function,CAG 113,"-0.000083 (-0.00037,0.00021)",0.583,1
Isovaleric acid,Function,CAG 113,"-0.000086 (-0.00038,0.00021)",0.566,1
Propionic acid ,Function,CAG 113,"-0.000005 (-0.0003,0.00029)",0.971,1
Butyric acid,Function,CAG 113,"-0.000098 (-0.00039,0.00019)",0.512,1
Acetic acid,Function,CAG 113,"-0.000078 (-0.00037,0.00021)",0.6,1
Isobutyric acid,Function,CAG 114,"0.000104 (-0.00015,0.00036)",0.429,1
Isovaleric acid,Function,CAG 114,"0.000033 (-0.00022,0.00029)",0.803,1
Propionic acid ,Function,CAG 114,"0.000001 (-0.00026,0.00026)",0.994,1
Butyric acid,Function,CAG 114,"-0.000067 (-0.00032,0.00019)",0.607,1
