eTable 8. Spearman associations bewtween Species versus SCFAs metabolites,,,,
,,,,
Short chain fatty acid,Species,rho,p-value,FDR
Isovaleric acid,Coprococcus catus,-0.0123,0.919,0.992
Propionic acid ,Coprococcus catus,-0.07,0.562,0.925
Acetic acid,Coprococcus comes,-0.0285,0.813,0.975
Butyric acid,Coprococcus comes,0.0896,0.457,0.904
Isobutyric acid,Coprococcus comes,0.0742,0.539,0.919
Isovaleric acid,Coprococcus comes,0.123,0.308,0.87
Propionic acid ,Coprococcus comes,0.0204,0.866,0.984
Acetic acid,Coprococcus eutactus,-0.0943,0.434,0.894
Butyric acid,Coprococcus eutactus,-0.239,0.0452,0.845
Isobutyric acid,Coprococcus eutactus,-0.195,0.103,0.845
Isovaleric acid,Coprococcus eutactus,-0.0381,0.752,0.966
Propionic acid ,Coprococcus eutactus,-0.161,0.18,0.845
Acetic acid,Coprococcus sp ART55 1,0.0945,0.433,0.894
Butyric acid,Coprococcus sp ART55 1,-0.00356,0.976,0.998
Isobutyric acid,Coprococcus sp ART55 1,0.189,0.114,0.845
Isovaleric acid,Coprococcus sp ART55 1,0.168,0.16,0.845
Propionic acid ,Coprococcus sp ART55 1,0.0888,0.461,0.904
Acetic acid,Desulfovibrio desulfuricans,-0.0864,0.474,0.908
Butyric acid,Desulfovibrio desulfuricans,-0.0362,0.765,0.968
Isobutyric acid,Desulfovibrio desulfuricans,-0.0539,0.655,0.947
Isovaleric acid,Desulfovibrio desulfuricans,-0.169,0.159,0.845
Propionic acid ,Desulfovibrio desulfuricans,0.0604,0.617,0.941
Acetic acid,Desulfovibrio piger,0.0973,0.42,0.894
Butyric acid,Desulfovibrio piger,-0.0395,0.744,0.966
Isobutyric acid,Desulfovibrio piger,0.219,0.0669,0.845
Isovaleric acid,Desulfovibrio piger,0.162,0.177,0.845
Propionic acid ,Desulfovibrio piger,0.121,0.315,0.873
Acetic acid,Dialister invisus,0.171,0.155,0.845
Butyric acid,Dialister invisus,0.046,0.703,0.957
Isobutyric acid,Dialister invisus,0.0705,0.559,0.925
Isovaleric acid,Dialister invisus,0.168,0.161,0.845
Propionic acid ,Dialister invisus,0.0865,0.473,0.907
Acetic acid,Dorea formicigenerans,0.0931,0.44,0.895
Butyric acid,Dorea formicigenerans,0.0663,0.583,0.932
Isobutyric acid,Dorea formicigenerans,0.127,0.291,0.866
Isovaleric acid,Dorea formicigenerans,0.184,0.124,0.845
Propionic acid ,Dorea formicigenerans,0.112,0.353,0.877
Acetic acid,Dorea longicatena,0.11,0.363,0.878
Butyric acid,Dorea longicatena,-0.00139,0.991,1
Isobutyric acid,Dorea longicatena,0.214,0.0733,0.845
Isovaleric acid,Dorea longicatena,0.194,0.106,0.845
Propionic acid ,Dorea longicatena,0.0699,0.563,0.925
Acetic acid,Dorea unclassified,-0.119,0.324,0.874
Butyric acid,Dorea unclassified,-0.0589,0.625,0.941
Isobutyric acid,Dorea unclassified,-0.121,0.316,0.873
Isovaleric acid,Dorea unclassified,-0.198,0.0971,0.845
Propionic acid ,Dorea unclassified,-0.149,0.215,0.85
Acetic acid,Dysgonomonas mossii,-0.0233,0.847,0.98
Butyric acid,Dysgonomonas mossii,0.128,0.286,0.863
Isobutyric acid,Dysgonomonas mossii,-0.117,0.333,0.874
Isovaleric acid,Dysgonomonas mossii,-0.0525,0.664,0.947
Propionic acid ,Dysgonomonas mossii,-0.117,0.333,0.874
Acetic acid,Dysgonomonas unclassified,0.128,0.287,0.864
Butyric acid,Dysgonomonas unclassified,0.229,0.0549,0.845
Isobutyric acid,Dysgonomonas unclassified,0.076,0.529,0.915
Isovaleric acid,Dysgonomonas unclassified,0.0153,0.899,0.99
Propionic acid ,Dysgonomonas unclassified,0.0759,0.529,0.915
Acetic acid,Eggerthella lenta,0.119,0.322,0.874
Butyric acid,Eggerthella lenta,0.253,0.0331,0.845
Isobutyric acid,Eggerthella lenta,0.0486,0.688,0.956
Isovaleric acid,Eggerthella lenta,0.0698,0.563,0.925
Propionic acid ,Eggerthella lenta,0.0998,0.408,0.891
Acetic acid,Eggerthella unclassified,0.0554,0.646,0.944
Butyric acid,Eggerthella unclassified,0.18,0.134,0.845
Isobutyric acid,Eggerthella unclassified,0.0117,0.923,0.992
Isovaleric acid,Eggerthella unclassified,0.029,0.81,0.974
Propionic acid ,Eggerthella unclassified,0.105,0.385,0.883
Acetic acid,Enterococcus faecalis,NA,NA,NA
Butyric acid,Enterococcus faecalis,NA,NA,NA
Isobutyric acid,Enterococcus faecalis,NA,NA,NA
Isovaleric acid,Enterococcus faecalis,NA,NA,NA
Propionic acid ,Enterococcus faecalis,NA,NA,NA
Acetic acid,Epsilon15likevirus unclassified,NA,NA,NA
Butyric acid,Epsilon15likevirus unclassified,NA,NA,NA
Isobutyric acid,Epsilon15likevirus unclassified,NA,NA,NA
Isovaleric acid,Epsilon15likevirus unclassified,NA,NA,NA
Propionic acid ,Epsilon15likevirus unclassified,NA,NA,NA
Acetic acid,Erysipelotrichaceae bacterium 2 2 44A,0.195,0.103,0.845
Butyric acid,Erysipelotrichaceae bacterium 2 2 44A,0.25,0.0357,0.845
Isobutyric acid,Erysipelotrichaceae bacterium 2 2 44A,0.16,0.181,0.845
Isovaleric acid,Erysipelotrichaceae bacterium 2 2 44A,0.0214,0.859,0.983
Propionic acid ,Erysipelotrichaceae bacterium 2 2 44A,0.249,0.0365,0.845
Acetic acid,Erysipelotrichaceae bacterium 21 3,0.167,0.164,0.845
Butyric acid,Erysipelotrichaceae bacterium 21 3,0.133,0.268,0.861
Isobutyric acid,Erysipelotrichaceae bacterium 21 3,-0.00501,0.967,0.997
Isovaleric acid,Erysipelotrichaceae bacterium 21 3,0.0394,0.744,0.966
Propionic acid ,Erysipelotrichaceae bacterium 21 3,0.114,0.346,0.877
Acetic acid,Erysipelotrichaceae bacterium 5 2 54FAA,0.195,0.103,0.845
Butyric acid,Erysipelotrichaceae bacterium 5 2 54FAA,0.25,0.0357,0.845
Isobutyric acid,Erysipelotrichaceae bacterium 5 2 54FAA,0.16,0.181,0.845
Isovaleric acid,Erysipelotrichaceae bacterium 5 2 54FAA,0.0214,0.859,0.983
Propionic acid ,Erysipelotrichaceae bacterium 5 2 54FAA,0.249,0.0365,0.845
Acetic acid,Erysipelotrichaceae bacterium 6 1 45,0.11,0.363,0.878
Butyric acid,Erysipelotrichaceae bacterium 6 1 45,0.181,0.131,0.845
Isobutyric acid,Erysipelotrichaceae bacterium 6 1 45,0.0584,0.629,0.941
Isovaleric acid,Erysipelotrichaceae bacterium 6 1 45,0.0768,0.525,0.915
Propionic acid ,Erysipelotrichaceae bacterium 6 1 45,0.135,0.261,0.859
Acetic acid,Escherichia coli,0.00527,0.965,0.996
Butyric acid,Escherichia coli,-0.0679,0.574,0.928
Isobutyric acid,Escherichia coli,-0.108,0.37,0.881
Isovaleric acid,Escherichia coli,-0.125,0.298,0.866
Propionic acid ,Escherichia coli,-0.0811,0.501,0.908
Acetic acid,Escherichia unclassified,-0.0809,0.502,0.908
Butyric acid,Escherichia unclassified,0.0746,0.537,0.919
Isobutyric acid,Escherichia unclassified,-0.059,0.625,0.941
Isovaleric acid,Escherichia unclassified,-0.125,0.299,0.868
Propionic acid ,Escherichia unclassified,-0.0325,0.788,0.972
Acetic acid,Eubacterium biforme,-0.0423,0.726,0.964
Butyric acid,Eubacterium biforme,-0.031,0.797,0.974
Isobutyric acid,Eubacterium biforme,0.118,0.326,0.874
Isovaleric acid,Eubacterium biforme,0.0187,0.877,0.986
Propionic acid ,Eubacterium biforme,0.0854,0.479,0.908
Acetic acid,Eubacterium cylindroides,-0.0916,0.447,0.898
Butyric acid,Eubacterium cylindroides,0.227,0.0566,0.845
Isobutyric acid,Eubacterium cylindroides,-0.0563,0.641,0.944
Isovaleric acid,Eubacterium cylindroides,-0.0287,0.812,0.975
Propionic acid ,Eubacterium cylindroides,0.0219,0.856,0.982
Acetic acid,Eubacterium eligens,0.0506,0.675,0.952
Butyric acid,Eubacterium eligens,0.146,0.226,0.85
Isobutyric acid,Eubacterium eligens,0.0613,0.612,0.94
Isovaleric acid,Eubacterium eligens,0.087,0.47,0.905
Propionic acid ,Eubacterium eligens,-0.145,0.227,0.851
Acetic acid,Eubacterium hallii,-0.108,0.372,0.883
Butyric acid,Eubacterium hallii,0.0148,0.902,0.99
Isobutyric acid,Eubacterium hallii,-0.0665,0.582,0.932
Isovaleric acid,Eubacterium hallii,0.0246,0.839,0.98
Propionic acid ,Eubacterium hallii,-0.178,0.136,0.845
Acetic acid,Eubacterium limosum,-0.245,0.0397,0.845
Butyric acid,Eubacterium limosum,-0.019,0.875,0.986
Isobutyric acid,Eubacterium limosum,-0.174,0.148,0.845
Isovaleric acid,Eubacterium limosum,-0.0736,0.542,0.921
Propionic acid ,Eubacterium limosum,-0.0329,0.785,0.971
Acetic acid,Eubacterium ramulus,-0.00284,0.981,0.999
Butyric acid,Eubacterium ramulus,-0.119,0.322,0.874
Isobutyric acid,Eubacterium ramulus,0.135,0.26,0.859
Isovaleric acid,Eubacterium ramulus,0.0292,0.809,0.974
Propionic acid ,Eubacterium ramulus,0.0154,0.898,0.99
Acetic acid,Eubacterium rectale,0.111,0.355,0.877
Butyric acid,Eubacterium rectale,-0.101,0.404,0.891
Isobutyric acid,Eubacterium rectale,0.07,0.562,0.925
Isovaleric acid,Eubacterium rectale,0.206,0.085,0.845
Propionic acid ,Eubacterium rectale,-0.0278,0.818,0.976
Acetic acid,Eubacterium siraeum,0.073,0.545,0.921
Butyric acid,Eubacterium siraeum,0.106,0.377,0.883
Isobutyric acid,Eubacterium siraeum,0.00979,0.935,0.994
Isovaleric acid,Eubacterium siraeum,0.119,0.323,0.874
Propionic acid ,Eubacterium siraeum,0.0549,0.649,0.945
Acetic acid,Eubacterium sp 3 1 31,0.158,0.187,0.845
Butyric acid,Eubacterium sp 3 1 31,0.183,0.127,0.845
Isobutyric acid,Eubacterium sp 3 1 31,0.0667,0.58,0.931
Isovaleric acid,Eubacterium sp 3 1 31,0.0442,0.714,0.961
Propionic acid ,Eubacterium sp 3 1 31,0.0933,0.439,0.894
Acetic acid,Eubacterium ventriosum,0.0199,0.869,0.985
Butyric acid,Eubacterium ventriosum,0.0583,0.629,0.941
Isobutyric acid,Eubacterium ventriosum,0.0838,0.487,0.908
Isovaleric acid,Eubacterium ventriosum,0.18,0.133,0.845
Propionic acid ,Eubacterium ventriosum,0.0185,0.878,0.986
Acetic acid,Faecalibacterium prausnitzii,0.0696,0.564,0.925
Butyric acid,Faecalibacterium prausnitzii,0.232,0.0511,0.845
Isobutyric acid,Faecalibacterium prausnitzii,-0.0404,0.738,0.964
Isovaleric acid,Faecalibacterium prausnitzii,0.0934,0.439,0.894
Propionic acid ,Faecalibacterium prausnitzii,0.0608,0.615,0.94
Acetic acid,Flavonifractor plautii,0.107,0.376,0.883
Butyric acid,Flavonifractor plautii,-0.0295,0.807,0.974
Isobutyric acid,Flavonifractor plautii,0.127,0.29,0.866
Isovaleric acid,Flavonifractor plautii,0.128,0.288,0.866
Propionic acid ,Flavonifractor plautii,0.131,0.278,0.863
Acetic acid,Fusobacterium mortiferum,-0.119,0.323,0.874
Butyric acid,Fusobacterium mortiferum,-0.00538,0.964,0.996
Isobutyric acid,Fusobacterium mortiferum,-0.241,0.0433,0.845
Isovaleric acid,Fusobacterium mortiferum,-0.0796,0.51,0.91
Propionic acid ,Fusobacterium mortiferum,-0.183,0.127,0.845
Acetic acid,Fusobacterium ulcerans,0.0723,0.549,0.923
Butyric acid,Fusobacterium ulcerans,0.17,0.157,0.845
Isobutyric acid,Fusobacterium ulcerans,0.0259,0.831,0.98
Isovaleric acid,Fusobacterium ulcerans,0.0579,0.631,0.942
Propionic acid ,Fusobacterium ulcerans,0.0529,0.661,0.947
Acetic acid,Fusobacterium varium,0.195,0.103,0.845
Butyric acid,Fusobacterium varium,0.249,0.0366,0.845
Isobutyric acid,Fusobacterium varium,0.164,0.173,0.845
Isovaleric acid,Fusobacterium varium,0.0284,0.814,0.975
Propionic acid ,Fusobacterium varium,0.25,0.0358,0.845
Acetic acid,Gordonibacter pamelaeae,-0.161,0.181,0.845
Butyric acid,Gordonibacter pamelaeae,-0.0588,0.626,0.941
Isobutyric acid,Gordonibacter pamelaeae,-0.183,0.126,0.845
Isovaleric acid,Gordonibacter pamelaeae,-0.249,0.0363,0.845
Propionic acid ,Gordonibacter pamelaeae,-0.241,0.0431,0.845
Acetic acid,Haemophilus parainfluenzae,0.202,0.0909,0.845
Butyric acid,Haemophilus parainfluenzae,-0.0146,0.904,0.991
Isobutyric acid,Haemophilus parainfluenzae,0.0614,0.611,0.94
Isovaleric acid,Haemophilus parainfluenzae,0.302,0.0104,0.845
Propionic acid ,Haemophilus parainfluenzae,0.0912,0.449,0.899
Acetic acid,Haemophilus phage HP1,0.0583,0.629,0.941
Butyric acid,Haemophilus phage HP1,-0.0117,0.923,0.992
Isobutyric acid,Haemophilus phage HP1,0.111,0.358,0.877
Isovaleric acid,Haemophilus phage HP1,0.07,0.562,0.925
Propionic acid ,Haemophilus phage HP1,0.14,0.244,0.856
Acetic acid,Haemophilus pittmaniae,-0.0227,0.851,0.981
Butyric acid,Haemophilus pittmaniae,0.0641,0.595,0.932
Isobutyric acid,Haemophilus pittmaniae,-0.0606,0.616,0.94
Isovaleric acid,Haemophilus pittmaniae,-0.000819,0.995,1
Propionic acid ,Haemophilus pittmaniae,-0.154,0.199,0.845
Acetic acid,Haemophilus sputorum,0.0583,0.629,0.941
Butyric acid,Haemophilus sputorum,-0.0117,0.923,0.992
Isobutyric acid,Haemophilus sputorum,0.111,0.358,0.877
Isovaleric acid,Haemophilus sputorum,0.07,0.562,0.925
Propionic acid ,Haemophilus sputorum,0.14,0.244,0.856
Acetic acid,Holdemania filiformis,0.272,0.0218,0.845
Butyric acid,Holdemania filiformis,-0.00229,0.985,1
Isobutyric acid,Holdemania filiformis,0.247,0.0378,0.845
Isovaleric acid,Holdemania filiformis,0.256,0.0309,0.845
Propionic acid ,Holdemania filiformis,0.261,0.0277,0.845
Acetic acid,Holdemania unclassified,0.0878,0.467,0.904
Butyric acid,Holdemania unclassified,0.161,0.18,0.845
Isobutyric acid,Holdemania unclassified,0.0786,0.515,0.914
Isovaleric acid,Holdemania unclassified,0.127,0.29,0.866
Propionic acid ,Holdemania unclassified,0.0942,0.435,0.894
Acetic acid,Klebsiella oxytoca,-0.0117,0.923,0.992
Butyric acid,Klebsiella oxytoca,-0.0758,0.53,0.915
Isobutyric acid,Klebsiella oxytoca,0.00583,0.961,0.996
Isovaleric acid,Klebsiella oxytoca,-0.0175,0.885,0.986
Propionic acid ,Klebsiella oxytoca,0.122,0.309,0.87
Acetic acid,Klebsiella pneumoniae,0.128,0.286,0.863
Butyric acid,Klebsiella pneumoniae,0.0117,0.923,0.992
Isobutyric acid,Klebsiella pneumoniae,-0.192,0.108,0.845
Isovaleric acid,Klebsiella pneumoniae,0,1,1
Propionic acid ,Klebsiella pneumoniae,-0.146,0.225,0.85
Acetic acid,Klebsiella unclassified,NA,NA,NA
Butyric acid,Klebsiella unclassified,NA,NA,NA
Isobutyric acid,Klebsiella unclassified,NA,NA,NA
Isovaleric acid,Klebsiella unclassified,NA,NA,NA
Propionic acid ,Klebsiella unclassified,NA,NA,NA
Acetic acid,Lachnospiraceae bacterium 1 1 57FAA,0.011,0.927,0.992
Butyric acid,Lachnospiraceae bacterium 1 1 57FAA,-0.0178,0.883,0.986
Isobutyric acid,Lachnospiraceae bacterium 1 1 57FAA,0.00127,0.992,1
Isovaleric acid,Lachnospiraceae bacterium 1 1 57FAA,0.0152,0.9,0.99
Propionic acid ,Lachnospiraceae bacterium 1 1 57FAA,-0.0265,0.826,0.979
Acetic acid,Lachnospiraceae bacterium 1 4 56FAA,-0.245,0.0397,0.845
Butyric acid,Lachnospiraceae bacterium 1 4 56FAA,-0.019,0.875,0.986
Isobutyric acid,Lachnospiraceae bacterium 1 4 56FAA,-0.174,0.148,0.845
Isovaleric acid,Lachnospiraceae bacterium 1 4 56FAA,-0.0736,0.542,0.921
Propionic acid ,Lachnospiraceae bacterium 1 4 56FAA,-0.0329,0.785,0.971
Acetic acid,Lachnospiraceae bacterium 2 1 58FAA,-0.0327,0.786,0.971
Butyric acid,Lachnospiraceae bacterium 2 1 58FAA,0.127,0.293,0.866
Isobutyric acid,Lachnospiraceae bacterium 2 1 58FAA,-0.0756,0.531,0.916
Isovaleric acid,Lachnospiraceae bacterium 2 1 58FAA,0.0247,0.838,0.98
Propionic acid ,Lachnospiraceae bacterium 2 1 58FAA,0.00327,0.978,0.999
Acetic acid,Lachnospiraceae bacterium 3 1 46FAA,-0.0629,0.602,0.936
Butyric acid,Lachnospiraceae bacterium 3 1 46FAA,-0.0296,0.806,0.974
Isobutyric acid,Lachnospiraceae bacterium 3 1 46FAA,0.0491,0.685,0.955
Isovaleric acid,Lachnospiraceae bacterium 3 1 46FAA,0.126,0.295,0.866
Propionic acid ,Lachnospiraceae bacterium 3 1 46FAA,0.0234,0.846,0.98
Acetic acid,Lachnospiraceae bacterium 3 1 57FAA CT1,0.165,0.17,0.845
Butyric acid,Lachnospiraceae bacterium 3 1 57FAA CT1,0.102,0.399,0.888
Isobutyric acid,Lachnospiraceae bacterium 3 1 57FAA CT1,0.18,0.133,0.845
Isovaleric acid,Lachnospiraceae bacterium 3 1 57FAA CT1,0.193,0.106,0.845
Propionic acid ,Lachnospiraceae bacterium 3 1 57FAA CT1,0.24,0.0436,0.845
Acetic acid,Lachnospiraceae bacterium 5 1 57FAA,0.0566,0.639,0.944
Butyric acid,Lachnospiraceae bacterium 5 1 57FAA,0.268,0.0238,0.845
Isobutyric acid,Lachnospiraceae bacterium 5 1 57FAA,0.0989,0.412,0.892
Isovaleric acid,Lachnospiraceae bacterium 5 1 57FAA,0.0743,0.538,0.919
Propionic acid ,Lachnospiraceae bacterium 5 1 57FAA,0.184,0.124,0.845
Acetic acid,Lachnospiraceae bacterium 5 1 63FAA,0.0535,0.658,0.947
Butyric acid,Lachnospiraceae bacterium 5 1 63FAA,0.0951,0.43,0.894
Isobutyric acid,Lachnospiraceae bacterium 5 1 63FAA,0.134,0.265,0.859
Isovaleric acid,Lachnospiraceae bacterium 5 1 63FAA,0.0834,0.489,0.908
Propionic acid ,Lachnospiraceae bacterium 5 1 63FAA,0.0783,0.517,0.915
Acetic acid,Lachnospiraceae bacterium 6 1 63FAA,-0.0175,0.885,0.986
Butyric acid,Lachnospiraceae bacterium 6 1 63FAA,0.14,0.244,0.856
Isobutyric acid,Lachnospiraceae bacterium 6 1 63FAA,-0.152,0.207,0.845
Isovaleric acid,Lachnospiraceae bacterium 6 1 63FAA,-0.0875,0.468,0.904
Propionic acid ,Lachnospiraceae bacterium 6 1 63FAA,-0.134,0.265,0.859
Acetic acid,Lachnospiraceae bacterium 7 1 58FAA,-0.0589,0.625,0.941
Butyric acid,Lachnospiraceae bacterium 7 1 58FAA,0.0237,0.844,0.98
Isobutyric acid,Lachnospiraceae bacterium 7 1 58FAA,-0.114,0.342,0.877
Isovaleric acid,Lachnospiraceae bacterium 7 1 58FAA,-0.056,0.643,0.944
Propionic acid ,Lachnospiraceae bacterium 7 1 58FAA,-0.112,0.353,0.877
Acetic acid,Lachnospiraceae bacterium 8 1 57FAA,0.358,0.00214,0.845
Butyric acid,Lachnospiraceae bacterium 8 1 57FAA,0.0305,0.8,0.974
Isobutyric acid,Lachnospiraceae bacterium 8 1 57FAA,0.278,0.019,0.845
Isovaleric acid,Lachnospiraceae bacterium 8 1 57FAA,0.294,0.0127,0.845
Propionic acid ,Lachnospiraceae bacterium 8 1 57FAA,0.175,0.145,0.845
Acetic acid,Lachnospiraceae bacterium 9 1 43BFAA,0.195,0.103,0.845
Butyric acid,Lachnospiraceae bacterium 9 1 43BFAA,0.249,0.0366,0.845
Isobutyric acid,Lachnospiraceae bacterium 9 1 43BFAA,0.164,0.173,0.845
Isovaleric acid,Lachnospiraceae bacterium 9 1 43BFAA,0.0284,0.814,0.975
Propionic acid ,Lachnospiraceae bacterium 9 1 43BFAA,0.25,0.0358,0.845
Acetic acid,Lactobacillus casei paracasei,NA,NA,NA
Butyric acid,Lactobacillus casei paracasei,NA,NA,NA
Isobutyric acid,Lactobacillus casei paracasei,NA,NA,NA
Isovaleric acid,Lactobacillus casei paracasei,NA,NA,NA
Propionic acid ,Lactobacillus casei paracasei,NA,NA,NA
Acetic acid,Lactobacillus curvatus,0.195,0.103,0.845
Butyric acid,Lactobacillus curvatus,0.25,0.0357,0.845
Isobutyric acid,Lactobacillus curvatus,0.16,0.181,0.845
Isovaleric acid,Lactobacillus curvatus,0.0214,0.859,0.983
Propionic acid ,Lactobacillus curvatus,0.249,0.0365,0.845
Acetic acid,Lactobacillus sakei,0.0933,0.439,0.894
Butyric acid,Lactobacillus sakei,0,1,1
Isobutyric acid,Lactobacillus sakei,0.163,0.174,0.845
Isovaleric acid,Lactobacillus sakei,0.157,0.19,0.845
Propionic acid ,Lactobacillus sakei,0.128,0.286,0.863
Acetic acid,Lactococcus lactis,0.0642,0.595,0.932
Butyric acid,Lactococcus lactis,0.0262,0.828,0.98
Isobutyric acid,Lactococcus lactis,0.128,0.286,0.863
Isovaleric acid,Lactococcus lactis,0.134,0.265,0.859
Propionic acid ,Lactococcus lactis,0.146,0.225,0.85
Acetic acid,Marvinbryantia formatexigens,-0.0462,0.702,0.957
Butyric acid,Marvinbryantia formatexigens,-0.015,0.901,0.99
Isobutyric acid,Marvinbryantia formatexigens,-0.132,0.273,0.863
Isovaleric acid,Marvinbryantia formatexigens,-0.207,0.0833,0.845
Propionic acid ,Marvinbryantia formatexigens,0.05,0.679,0.954
Acetic acid,Megamonas funiformis,-0.011,0.928,0.992
Butyric acid,Megamonas funiformis,-0.0991,0.411,0.891
Isobutyric acid,Megamonas funiformis,0.106,0.381,0.883
Isovaleric acid,Megamonas funiformis,0.03,0.804,0.974
Propionic acid ,Megamonas funiformis,0.0759,0.529,0.915
Acetic acid,Megamonas hypermegale,0.0127,0.916,0.992
Butyric acid,Megamonas hypermegale,-0.0248,0.838,0.98
Isobutyric acid,Megamonas hypermegale,0.155,0.198,0.845
Isovaleric acid,Megamonas hypermegale,0.0106,0.93,0.993
Propionic acid ,Megamonas hypermegale,0.0835,0.489,0.908
Acetic acid,Megamonas rupellensis,-0.033,0.785,0.971
Butyric acid,Megamonas rupellensis,-0.0138,0.909,0.992
Isobutyric acid,Megamonas rupellensis,0.0124,0.918,0.992
Isovaleric acid,Megamonas rupellensis,-0.0782,0.517,0.915
Propionic acid ,Megamonas rupellensis,-0.018,0.881,0.986
Acetic acid,Megamonas unclassified,-0.155,0.197,0.845
Butyric acid,Megamonas unclassified,-0.0944,0.433,0.894
Isobutyric acid,Megamonas unclassified,0.0525,0.663,0.947
Isovaleric acid,Megamonas unclassified,0.0036,0.976,0.998
Propionic acid ,Megamonas unclassified,-0.0248,0.837,0.98
Acetic acid,Methanobrevibacter smithii,0.0491,0.684,0.955
Butyric acid,Methanobrevibacter smithii,-0.00445,0.971,0.997
Isobutyric acid,Methanobrevibacter smithii,0.152,0.206,0.845
Isovaleric acid,Methanobrevibacter smithii,-0.007,0.954,0.996
Propionic acid ,Methanobrevibacter smithii,0.0874,0.469,0.905
Acetic acid,Methanobrevibacter unclassified,0.0208,0.863,0.983
Butyric acid,Methanobrevibacter unclassified,0.143,0.234,0.854
Isobutyric acid,Methanobrevibacter unclassified,0.0836,0.488,0.908
Isovaleric acid,Methanobrevibacter unclassified,-0.0648,0.592,0.932
Propionic acid ,Methanobrevibacter unclassified,-0.0223,0.853,0.982
Acetic acid,Mitsuokella multacida,0.0473,0.695,0.956
Butyric acid,Mitsuokella multacida,-0.0827,0.493,0.908
Isobutyric acid,Mitsuokella multacida,0.0328,0.786,0.971
Isovaleric acid,Mitsuokella multacida,-0.136,0.259,0.859
Propionic acid ,Mitsuokella multacida,-0.19,0.112,0.845
Acetic acid,Mitsuokella unclassified,0.158,0.189,0.845
Butyric acid,Mitsuokella unclassified,0.0137,0.909,0.992
Isobutyric acid,Mitsuokella unclassified,0.135,0.26,0.859
Isovaleric acid,Mitsuokella unclassified,0.00236,0.984,1
Propionic acid ,Mitsuokella unclassified,-0.0456,0.706,0.957
Acetic acid,Odoribacter laneus,-0.0104,0.931,0.993
Butyric acid,Odoribacter laneus,-0.0284,0.814,0.975
Isobutyric acid,Odoribacter laneus,0.152,0.207,0.845
Isovaleric acid,Odoribacter laneus,0.0182,0.88,0.986
Propionic acid ,Odoribacter laneus,0.115,0.34,0.877
Acetic acid,Odoribacter splanchnicus,0.183,0.127,0.845
Butyric acid,Odoribacter splanchnicus,-0.014,0.908,0.992
Isobutyric acid,Odoribacter splanchnicus,0.167,0.163,0.845
Isovaleric acid,Odoribacter splanchnicus,0.136,0.258,0.859
Propionic acid ,Odoribacter splanchnicus,0.169,0.159,0.845
Acetic acid,Odoribacter unclassified,-0.0349,0.772,0.968
Butyric acid,Odoribacter unclassified,-0.0305,0.8,0.974
Isobutyric acid,Odoribacter unclassified,0.0881,0.465,0.904
Isovaleric acid,Odoribacter unclassified,-0.033,0.785,0.971
Propionic acid ,Odoribacter unclassified,-0.15,0.213,0.85
Acetic acid,Oscillibacter unclassified,0.086,0.476,0.908
Butyric acid,Oscillibacter unclassified,-0.0875,0.468,0.904
Isobutyric acid,Oscillibacter unclassified,0.00231,0.985,1
Isovaleric acid,Oscillibacter unclassified,0.0725,0.548,0.923
Propionic acid ,Oscillibacter unclassified,-0.0712,0.555,0.925
Acetic acid,Oxalobacter formigenes,-0.0765,0.526,0.915
Butyric acid,Oxalobacter formigenes,-0.107,0.374,0.883
Isobutyric acid,Oxalobacter formigenes,-0.0223,0.854,0.982
Isovaleric acid,Oxalobacter formigenes,-0.123,0.308,0.87
Propionic acid ,Oxalobacter formigenes,-0.0885,0.463,0.904
Acetic acid,Parabacteroides distasonis,-0.103,0.393,0.886
Butyric acid,Parabacteroides distasonis,-0.231,0.0527,0.845
Isobutyric acid,Parabacteroides distasonis,-0.133,0.27,0.862
Isovaleric acid,Parabacteroides distasonis,-0.0614,0.611,0.94
Propionic acid ,Parabacteroides distasonis,-0.215,0.0718,0.845
Acetic acid,Parabacteroides goldsteinii,0.169,0.16,0.845
Butyric acid,Parabacteroides goldsteinii,-0.0384,0.751,0.966
Isobutyric acid,Parabacteroides goldsteinii,-0.0498,0.68,0.954
Isovaleric acid,Parabacteroides goldsteinii,-0.0207,0.864,0.983
Propionic acid ,Parabacteroides goldsteinii,-0.0907,0.452,0.903
Acetic acid,Parabacteroides johnsonii,0.305,0.00961,0.845
Butyric acid,Parabacteroides johnsonii,0.00824,0.946,0.996
Isobutyric acid,Parabacteroides johnsonii,0.327,0.00545,0.845
Isovaleric acid,Parabacteroides johnsonii,0.305,0.0096,0.845
Propionic acid ,Parabacteroides johnsonii,0.242,0.0424,0.845
Acetic acid,Parabacteroides merdae,0.0875,0.468,0.904
Butyric acid,Parabacteroides merdae,-0.192,0.109,0.845
Isobutyric acid,Parabacteroides merdae,0.129,0.282,0.863
Isovaleric acid,Parabacteroides merdae,0.165,0.169,0.845
Propionic acid ,Parabacteroides merdae,-0.101,0.403,0.891
Acetic acid,Parabacteroides sp 20 3,-0.198,0.0974,0.845
Butyric acid,Parabacteroides sp 20 3,0.00583,0.962,0.996
Isobutyric acid,Parabacteroides sp 20 3,-0.0817,0.498,0.908
Isovaleric acid,Parabacteroides sp 20 3,-0.0991,0.411,0.891
Propionic acid ,Parabacteroides sp 20 3,-0.192,0.108,0.845
Acetic acid,Parabacteroides unclassified,-0.0821,0.496,0.908
Butyric acid,Parabacteroides unclassified,-0.00688,0.955,0.996
